title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
The Shack (2017),96942115.0,20000000.0,16172119.0,6.3,132,27970.0,2.35
Life (2017),70307784.0,58000000.0,12501936.0,6.6,104,194565.0,2.39
The Lost City of Z (2016),17509437.0,30000000.0,112633.0,6.6,141,72551.0,2.35
Power Rangers (2017),142337240.0,100000000.0,40300288.0,5.9,124,97882.0,2.35
Alien: Covenant (2017),240891763.0,97000000.0,36160621.0,6.4,122,240813.0,1.90
Going in Style (2017),52488503.0,25000000.0,11932330.0,6.6,96,71402.0,2.39
Smurfs: The Lost Village (2017),197183546.0,60000000.0,13210449.0,6.0,90,16939.0,1.85
Gifted (2017),40193907.0,7000000.0,446380.0,7.6,101,90275.0,2.39
The Mummy (2017),410333326.0,125000000.0,31688375.0,5.4,110,164667.0,16:9
Captain Underpants: The First Epic Movie (2017),126577874.0,38000000.0,23851539.0,6.2,89,23560.0,1.85
It Comes At Night (2017),19720203.0,5000000.0,5988370.0,6.2,91,76649.0,2.40:1
Cars 3 (2017),383889151.0,175000000.0,53688680.0,6.7,102,67096.0,2.35
The Beguiled (2017),15871398.0,10500000.0,3163472.0,6.3,93,47401.0,1.66
Rough Night (2017),44436928.0,20000000.0,8004283.0,5.2,101,43211.0,2.39
Despicable Me 3 (2017),1034799409.0,80000000.0,72434025.0,6.3,89,103529.0,1.78
War for the Planet of the Apes (2017),490664238.0,150000000.0,56262929.0,7.4,140,214786.0,2.39
Kidnap (2017),34836080.0,21000000.0,10016323.0,5.9,95,31303.0,2.39
An Inconvenient Sequel: Truth to Power (2017),5398976.0,1000000.0,124823.0,6.4,98,7317.0,1.85
Transformers: The Last Knight (2017),605425157.0,217000000.0,44680073.0,5.2,154,127959.0,1.90
The House (2017),33281529.0,40000000.0,8724795.0,5.6,88,37917.0,2.35
The Dark Tower (2017),113461527.0,60000000.0,19153698.0,5.6,95,119139.0,2.39
The Emoji Movie (2017),217776646.0,50000000.0,24531923.0,3.2,86,52181.0,2.20
Wish Upon (2017),14053908.0,16000000.0,5467084.0,5.0,90,16741.0,2.39:1
Girls Trip (2017),140949423.0,19000000.0,31201920.0,6.2,122,32092.0,2.39
