,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
211,Sydney White,13620075.0,16500000.0,5196380.0,6.2,108,44810.0,2.35
212,The Kingdom,86658558.0,70000000.0,17135055.0,7.0,110,114592.0,2.35
213,War,40686409.0,25000000.0,9820089.0,6.2,103,82944.0,2.35
214,Halloween,80253908.0,15000000.0,30591759.0,6.1,109,105661.0,2.39
215,Death Sentence,16974459.0,20000000.0,5337257.0,6.8,105,67265.0,2.35
216,3:10 to Yuma,71171825.0,55000000.0,14035033.0,7.7,122,278155.0,2.35
217,The Brave One,32972815.0,70000000.0,13471488.0,6.7,122,56945.0,2.35
218,Into the Wild,56255142.0,15000000.0,212440.0,8.1,148,544698.0,2.35
219,The Game Plan,147880543.0,22000000.0,22950971.0,6.1,110,55966.0,2.39
220,"Lust, Caution",67091915.0,15000000.0,63918.0,7.5,157,35678.0,1.85
221,The Heartbreak Kid,127766650.0,60000000.0,14022105.0,5.8,116,82274.0,2.35
222,Dan in Real Life,67938171.0,25000000.0,11809445.0,6.7,98,95540.0,1.85
223,The Darjeeling Limited,35076923.0,17500000.0,1761335.0,7.2,91,172178.0,2.40
224,Michael Clayton,92991835.0,25000000.0,719910.0,7.2,119,151733.0,2.35
225,Lars and the Real Girl,11293523.0,12000000.0,90418.0,7.3,106,134493.0,1.85
226,30 Days of Night,80276156.0,32000000.0,15951902.0,6.6,113,159561.0,2.35
227,Rendition,27038732.0,27500000.0,4060012.0,6.8,122,53114.0,2.35
228,Saw IV,139352633.0,10000000.0,31756764.0,5.9,93,135360.0,1.85
229,American Gangster,266465037.0,100000000.0,43565135.0,7.8,157,377627.0,1.85
230,Bee Movie,287594577.0,150000000.0,38021044.0,6.1,91,134212.0,1.85
231,No Country for Old Men,171627166.0,25000000.0,1226333.0,8.1,122,804693.0,2.39
232,Fred Claus,97838349.0,100000000.0,18515473.0,5.6,116,38558.0,2.35
233,Beowulf,196393745.0,150000000.0,27515871.0,6.2,115,158042.0,2.39
234,Mr. Magorium's Wonder Emporium,69474661.0,65000000.0,9630085.0,6.2,93,41402.0,2.35
235,Love in the Time of Cholera,31336389.0,45000000.0,1924860.0,6.4,139,21836.0,2.35
236,Enchanted,340487652.0,85000000.0,34440317.0,7.0,107,170624.0,1.78
237,Awake,32685679.0,8600000.0,5856872.0,6.5,84,70978.0,2.35
238,I Am Legend,585349010.0,150000000.0,77211321.0,7.2,101,659103.0,2.35
239,Alvin and the Chipmunks,361336633.0,60000000.0,44307417.0,5.2,92,72757.0,1.85
240,Juno,231411584.0,7500000.0,413869.0,7.4,96,477114.0,1.85
241,The Bucket List,175372502.0,45000000.0,582534.0,7.4,97,221883.0,1.85
242,The Kite Runner,74180745.0,20000000.0,471713.0,7.6,128,75735.0,2.35
243,Sweeney Todd: The Demon Barber of Fleet Street,152523073.0,50000000.0,13635390.0,7.3,116,331951.0,1.85
244,National Treasure: Book of Secrets,457364600.0,130000000.0,65444195.0,6.5,124,211725.0,2.39
245,There Will Be Blood,77208711.0,25000000.0,302845.0,8.2,158,486629.0,2.39
246,Charlie Wilson's War,119000410.0,75000000.0,15952430.0,7.0,102,105807.0,1.85
247,Aliens vs Predator: Requiem,128884494.0,40000000.0,13655306.0,4.7,94,112477.0,2.35
248,P.S. I Love You,156835339.0,30000000.0,9283468.0,7.0,126,195625.0,1.85
249,27 Dresses,160259319.0,30000000.0,27442040.0,6.1,111,149042.0,2.39
250,Cloverfield,170764026.0,25000000.0,46146546.0,7.0,85,361697.0,1.85
251,Meet the Spartans,84646831.0,30000000.0,18505530.0,2.8,86,99416.0,1.85
252,The Eye,56964642.0,12000000.0,12425776.0,5.4,98,50206.0,2.35
253,Hellboy II: The Golden Army,160388063.0,85000000.0,34539115.0,7.0,120,249409.0,1.85
254,Welcome Home Roscoe Jenkins,43650785.0,35000000.0,16207730.0,5.5,114,12962.0,1.85
255,Fool's Gold,111231041.0,70000000.0,21589295.0,5.7,112,70669.0,2.40:1
256,Jumper,222231186.0,85000000.0,32092991.0,6.1,88,279058.0,2.35
257,The Air I Breathe,884503.0,10000000.0,19487.0,6.8,95,33079.0,2.35
258,Vantage Point,151161491.0,40000000.0,22874936.0,6.6,90,141813.0,2.35
259,The Spiderwick Chronicles,162839667.0,90000000.0,24740537.0,6.5,96,84717.0,2.35
260,Step Up 2: The Streets,150816700.0,17500000.0,22125429.0,6.2,98,77768.0,1.85
261,"10,000 BC",269784201.0,105000000.0,35867488.0,5.1,109,122539.0,2.35
262,Horton Hears a Who!,297138014.0,85000000.0,45012998.0,6.8,86,125155.0,1.85
263,Diary of the Dead,5364858.0,2000000.0,275061.0,5.6,95,44950.0,1.85
264,What Just Happened,3291679.0,25000000.0,192508.0,5.6,104,25975.0,2.35
265,Married Life,2843997.0,12000000.0,55851.0,6.2,91,8862.0,1.85
266,The Dark Knight,1004558444.0,185000000.0,158411483.0,9.0,152,2186522.0,1.43
267,21,157927340.0,35000000.0,24105943.0,6.8,123,221229.0,2.35
268,Nim's Island,100074624.0,37000000.0,13210579.0,6.0,96,32408.0,2.35
269,The Ruins,22728043.0,8000000.0,8003241.0,5.8,90,67710.0,2.35
270,Forgetting Sarah Marshall,105173115.0,30000000.0,17725330.0,7.1,111,254356.0,1.37
271,Superhero Movie,73026302.0,35000000.0,9510297.0,4.5,75,61604.0,1.85
272,Speed Racer,93945766.0,120000000.0,18561337.0,6.0,135,66787.0,2.35
273,The Forbidden Kingdom,127980002.0,55000000.0,21401121.0,6.6,104,98936.0,2.35
274,Prom Night,57197876.0,20000000.0,20804941.0,3.9,88,32814.0,2.35
275,Iron Man,585174222.0,140000000.0,98618668.0,7.9,126,902058.0,1.90
276,Made of Honor,105962760.0,40000000.0,14756850.0,5.9,101,65146.0,2.35
277,What Happens in Vegas,219375797.0,35000000.0,20172474.0,6.1,99,160883.0,2.35
278,The Chronicles of Narnia: Prince Caspian,419651413.0,225000000.0,55034805.0,6.5,150,186333.0,2.39
279,"War, Inc.",1299855.0,10000000.0,45714.0,5.6,107,21155.0,1.78
280,Indiana Jones and the Kingdom of the Crystal Skull,786636033.0,185000000.0,126917373.0,6.1,122,408189.0,2.39
281,Shutter,47879410.0,8000000.0,10447559.0,5.2,85,31473.0,1.85
282,Sex and the City,415252786.0,65000000.0,56848056.0,5.6,145,112893.0,1.85
283,The Strangers,82391145.0,10000000.0,20997985.0,6.2,86,113683.0,2.35
284,Kung Fu Panda,631744560.0,130000000.0,60239130.0,7.5,92,399481.0,1.43
285,You Don't Mess with the Zohan,199936011.0,90000000.0,38531374.0,5.5,113,183806.0,1.85
286,The Incredible Hulk,263427551.0,150000000.0,55414050.0,6.7,112,417565.0,2.39
287,WALL·E,534767889.0,180000000.0,63087526.0,8.4,98,950701.0,2.39
288,Wanted,341433252.0,75000000.0,217432.0,6.7,110,349816.0,2.35
289,Hancock,624386746.0,150000000.0,62603879.0,6.4,92,428425.0,2.39
290,Get Smart,230685453.0,80000000.0,38683480.0,6.5,110,196198.0,1.85
291,Mamma Mia!,609841637.0,52000000.0,27751240.0,6.4,108,203930.0,2.39
292,Journey to the Center of the Earth,241995151.0,45000000.0,21018141.0,5.8,93,108538.0,1.78
293,Meet Dave,50650079.0,60000000.0,5251918.0,5.0,90,37172.0,1.85
294,Space Chimps,64762724.0,37000000.0,7181374.0,4.5,81,10387.0,2.35
295,Watchmen,185258983.0,130000000.0,55214334.0,7.6,162,481293.0,2.39
296,Step Brothers,128107642.0,65000000.0,30940732.0,6.9,98,257288.0,2.35
297,The X Files: I Want to Believe,68369434.0,30000000.0,10021753.0,5.9,104,87150.0,2.35
298,The Mummy: Tomb of the Dragon Emperor,401128639.0,145000000.0,40457770.0,5.2,112,145764.0,2.39
299,The Midnight Meat Train,3533227.0,15000000.0,34394.0,6.1,98,57613.0,2.35
300,Pineapple Express,101624843.0,27000000.0,23245025.0,7.0,111,304691.0,2.35
301,Elegy,14894347.0,13000000.0,104168.0,6.7,112,21444.0,1.85
302,Tropic Thunder,188072649.0,92000000.0,25812796.0,7.0,107,364637.0,2.35
303,Star Wars: The Clone Wars,68282844.0,8500000.0,14611273.0,5.9,98,53494.0,2.35
304,Death Race,75677515.0,45000000.0,12621090.0,6.4,105,192406.0,2.35
305,The House Bunny,70442940.0,25000000.0,14533702.0,5.5,97,76826.0,2.35
306,The Rocker,8767338.0,15000000.0,2636048.0,6.2,102,36003.0,1.85
307,Mirrors,77488607.0,35000000.0,11161074.0,6.2,110,99484.0,2.35
308,Burn After Reading,163720069.0,37000000.0,19128001.0,7.0,96,297136.0,1.85
309,Disaster Movie,34816824.0,20000000.0,6945535.0,1.9,87,85095.0,1.85
310,The Women,50007546.0,16500000.0,10115121.0,5.0,114,19762.0,1.85
311,Righteous Kill,78460699.0,60000000.0,16288361.0,6.0,101,82511.0,2.35
312,Eagle Eye,178066569.0,80000000.0,29150721.0,6.6,118,171141.0,2.39
313,Nights in Rodanthe,84375061.0,30000000.0,13418454.0,6.0,97,22110.0,2.35
314,Body of Lies,115097286.0,70000000.0,12884416.0,7.1,128,205796.0,2.39
315,City of Ember,17929684.0,55000000.0,3129473.0,6.5,90,60973.0,2.35
316,Max Payne,85416905.0,35000000.0,17639849.0,5.4,100,119738.0,2.35
